Entity,Code,Continent,Baseline_Year
Tajikistan,TJK,Asia,1990
Thailand,THA,Asia,1990
Turkey,TUR,Asia,1990
Turkmenistan,TKM,Asia,1990
United Arab Emirates,ARE,Asia,1990
Uzbekistan,UZB,Asia,1990
Vietnam,VNM,Asia,1990
Albania,ALB,Europe,1990
Austria,AUT,Europe,1990
Belarus,BLR,Europe,1990
Belgium,BEL,Europe,1990
Bosnia and Herzegovina,BIH,Europe,1994
Bulgaria,BGR,Europe,1990
Croatia,HRV,Europe,1995
Cyprus,CYP,Europe,1990
Czechia,CZE,Europe,1990
Denmark,DNK,Europe,1990
Estonia,EST,Europe,1995
Finland,FIN,Europe,1990
France,FRA,Europe,1990
Germany,DEU,Europe,1990
Greece,GRC,Europe,1990
Hungary,HUN,Europe,1991
Iceland,ISL,Europe,1995
Ireland,IRL,Europe,1990
Italy,ITA,Europe,1990
Kosovo,OWID_KOS,Europe,2008
Latvia,LVA,Europe,1995
Lithuania,LTU,Europe,1995
Luxembourg,LUX,Europe,1990
Malta,MLT,Europe,1990
Moldova,MDA,Europe,1995
Montenegro,MNE,Europe,1997
Netherlands,NLD,Europe,1990
North Macedonia,MKD,Europe,1990
Norway,NOR,Europe,1990
Poland,POL,Europe,1990
Portugal,PRT,Europe,1990
Romania,ROU,Europe,1990
Russia,RUS,Europe,1990
San Marino,SMR,Europe,1997
Serbia,SRB,Europe,1995
Slovakia,SVK,Europe,1992
Slovenia,SVN,Europe,1995
Spain,ESP,Europe,1990
Sweden,SWE,Europe,1990
Switzerland,CHE,Europe,1990
Ukraine,UKR,Europe,1990
United Kingdom,GBR,Europe,1990
Antigua and Barbuda,ATG,North America,1990
Aruba,ABW,North America,1990
Bahamas,BHS,North America,1990
Barbados,BRB,North America,1990
Belize,BLZ,North America,1990
Bermuda,BMU,North America,1990
Canada,CAN,North America,1997
Cayman Islands,CYM,North America,2006
Costa Rica,CRI,North America,1990
Curacao,CUW,North America,2000
Dominica,DMA,North America,1990
Dominican Republic,DOM,North America,1990
El Salvador,SLV,North America,1990
Grenada,GRD,North America,1990
Guatemala,GTM,North America,1990
Haiti,HTI,North America,1990
Honduras,HND,North America,1990
Jamaica,JAM,North America,1990
Mexico,MEX,North America,1990
Nicaragua,NIC,North America,1990
Panama,PAN,North America,1990
Puerto Rico,PRI,North America,1990
Saint Kitts and Nevis,KNA,North America,1990
Saint Lucia,LCA,North America,1990
Saint Vincent and the Grenadines,VCT,North America,1990
Sint Maarten (Dutch part),SXM,North America,2009
Trinidad and Tobago,TTO,North America,1990
Turks and Caicos Islands,TCA,North America,2011
United States,USA,North America,1990
Australia,AUS,Oceania,1990
Fiji,FJI,Oceania,1990
Kiribati,KIR,Oceania,1990
Marshall Islands,MHL,Oceania,1990
Micronesia (country),FSM,Oceania,1990
Nauru,NRU,Oceania,2004
New Zealand,NZL,Oceania,1990
Palau,PLW,Oceania,2000
Papua New Guinea,PNG,Oceania,1990
Samoa,WSM,Oceania,1990
Solomon Islands,SLB,Oceania,1990
Tonga,TON,Oceania,1990
Tuvalu,TUV,Oceania,1990
Vanuatu,VUT,Oceania,1990
Argentina,ARG,South America,1990
Bolivia,BOL,South America,1990
Brazil,BRA,South America,1990
Chile,CHL,South America,1990
Colombia,COL,South America,1990
Ecuador,ECU,South America,1990
Guyana,GUY,South America,1990
Paraguay,PRY,South America,1990
Peru,PER,South America,1990
Suriname,SUR,South America,1990
Uruguay,URY,South America,1990
