Continent,Year,Total_Continent_Pop,Weighted_CAGR,N_Countries_With_Pop
South America,2007,341477.931,1.9433194983812907,10
South America,2008,344891.10300000006,2.0579413482274296,10
South America,2009,348215.8130000001,1.8661797675015828,10
South America,2010,351467.84899999993,2.084889198017289,10
South America,2011,354701.01100000006,2.1765601986056753,10
South America,2012,357936.664,2.145880269945605,10
South America,2013,361171.21499999997,2.167655753721127,10
South America,2014,364445.5179999999,2.082947975682127,10
South America,2015,367761.461,1.9253433730655964,10
South America,2016,371174.512,1.7602665053453745,10
South America,2017,374855.728,1.7207867115452258,10
South America,2018,378839.91299999994,1.6784690282774002,10
South America,2019,382649.684,1.6198120060804528,10
South America,2020,385660.58,1.3307274959211448,10
South America,2021,387859.67299999995,1.4884331065332306,10
