continent,year,gdp_pc_growth_pct_weighted
South America,1997,2.9523202375516737
South America,1998,-0.4235986726738181
South America,1999,-2.1963602261413095
South America,2000,1.7373787148074007
South America,2001,-0.545001735636143
South America,2002,0.149185211372282
South America,2003,1.7164353091918902
South America,2004,4.911178726418781
South America,2005,3.388678342865159
South America,2006,4.089557434343721
South America,2007,5.382812552546522
South America,2008,4.048212688893468
South America,2009,-1.4877714831000788
South America,2010,6.356527644289622
South America,2011,4.040032420093453
South America,2012,1.5243181493998157
South America,2013,2.6562851940131758
South America,2014,0.17019096473535414
South America,2015,-1.7608852224101985
South America,2016,-2.285069709932226
South America,2017,0.6561035785855465
South America,2018,0.48421126661737035
South America,2019,-0.06364795741599753
South America,2020,-6.658531371765329
South America,2021,6.345126444827319
