continent,year,Avg_CAGR,N_Countries
North America,2019,1.3563851059428125,28
North America,2020,0.7606930393967802,28
North America,2021,0.9364637230207999,28
Oceania,1991,0.46991257885665283,12
Oceania,1992,1.4965384357913902,12
Oceania,1993,2.143274469688712,12
Oceania,1994,2.363887519445669,12
Oceania,1995,2.2794829571831996,12
Oceania,1996,1.83995709821169,12
Oceania,1997,1.405542684669204,12
Oceania,1998,1.3940607158407445,12
Oceania,1999,1.304487304261089,12
Oceania,2000,1.125205909902564,12
Oceania,2001,1.3892828343348125,13
Oceania,2002,1.3178812815334071,13
Oceania,2003,1.0918147965843366,13
Oceania,2004,1.1143021393842985,13
Oceania,2005,0.8989274859572033,14
Oceania,2006,1.3144140905400876,14
Oceania,2007,0.6633170323231502,14
Oceania,2008,1.0201401138169521,14
Oceania,2009,1.0075582955061233,14
Oceania,2010,1.1608814781319834,14
Oceania,2011,1.3187829340263533,14
Oceania,2012,1.3318151099523263,14
Oceania,2013,1.4844660289633256,14
Oceania,2014,1.629917544000492,14
Oceania,2015,1.6826197913289591,14
Oceania,2016,1.6901350351958222,14
Oceania,2017,1.6017601020859045,14
Oceania,2018,1.5846090987899075,14
Oceania,2019,1.5822522578762093,14
Oceania,2020,1.3572283594560601,14
Oceania,2021,1.2100800894397619,14
South America,1991,2.7433348449706845,11
South America,1992,2.558272069364858,11
South America,1993,2.5555349186345317,11
South America,1994,3.0590809955421547,11
South America,1995,2.8469839303006355,11
South America,1996,2.741329246448241,11
South America,1997,2.940715404392299,11
South America,1998,2.6348116734026625,11
South America,1999,2.0550383853445098,11
South America,2000,1.8399731202875171,11
South America,2001,1.634350382780425,11
South America,2002,1.4331918813354696,11
South America,2003,1.5031705545601202,11
South America,2004,1.7216189795734824,11
South America,2005,1.8413187202761123,11
South America,2006,2.0076691465921916,11
South America,2007,2.182589474716079,11
South America,2008,2.294299495036777,11
South America,2009,2.1668851919920225,11
South America,2010,2.3365189054473245,11
South America,2011,2.4487970712365907,11
South America,2012,2.449994072706805,11
South America,2013,2.497472511863533,11
South America,2014,2.4484115073545754,11
South America,2015,2.354270732798799,11
South America,2016,2.2557354914393306,11
South America,2017,2.2211990729352173,11
South America,2018,2.179086049650443,11
South America,2019,2.100169972514363,11
South America,2020,1.8588049642344142,11
South America,2021,2.0141271267146243,11
